parastatal,year,capital expenditure,recurrent expenditure,allocation
AUDITOR GENERAL FOR THE FEDERATION,2013,,,
MINISTRY OF COMMUNICATION TECHNOLOGY,2013,,,
OFFICE OF THE NATIONAL SECURITY ADVISER,2013,,,
INFRASTRUCTURE CONCESSIONARY REGULATORY COMMISSION,2013,,,
OFFICE OF THE SECRETARY TO THE GOVERNMENT OF THE FEDERATION,2013,,,
FEDERAL MINISTRY OF AGRICULTURE & RURAL DEVELOPMENT,2013,,,
FEDERAL MINISTRY OF FINANCE,2013,,,
"FEDERAL MINISTRY OF INDUSTRY, TRADE AND INVESTMENT",2013,,,
FEDERAL MINISTRY OF LABOUR AND EMPLOYMENT,2013,,,
FEDERAL MINISTRY OF SCIENCE AND TECHNOLOGY,2013,,,
FEDERAL MINISTRY OF TRANSPORTATION,2013,,,
FEDERAL MINISTRY OF  WORKS,2013,,,
"FEDERAL MINISTRY OF LANDS, HOUSING & URBAN DEVELOPMENT",2013,,,
FEDERAL MINISTRY OF  POWER,2013,,,
MINISTRY OF PETROLEUM RESOURCES,2013,,,
MINISTRY OF MINES AND STEEL DEVELOPMENT,2013,,,
MINISTRY OF BUDGET AND NATIONAL PLANNING,2013,,,
"NATIONAL SALARIES, INCOMES AND WAGES COMMISSION",2013,,,
FISCAL RESPONSIBILITY COMMISSION,2013,,,
FEDERAL MINISTRY OF WATER RESOURCES,2013,,,
FEDERAL MINISTRY OF JUSTICE,2013,,,
INDEPENDENT CORRUPT PRACTICES AND RELATED OFFENCES COMMISSION,2013,,,
FEDERAL CAPITAL TERRITORY ADMINISTRATION,2013,,,
MINISTRY OF NIGER DELTA AFFAIRS,2013,,,
NATIONAL SPORTS COMMISSION,2013,,,
FEDERAL MINISTRY OF YOUTH  DEVELOPMENT,2013,,,
FEDERAL MINISTRY OF WOMEN AFFAIRS,2013,,,
FEDERAL MINISTRY OF EDUCATION,2013,,,
FEDERAL MINISTRY OF HEALTH,2013,,,
FEDERAL MINISTRY OF ENVIRONMENT,2013,,,
NATIONAL POPULATION COMMISSION,2013,,,
FEDERAL CHARACTER COMMISSION,2013,,,
FEDERAL MINISTRY OF SPECIAL DUTIES & INTER - GOVERNMENTAL AFFAIRS,2013,,,
FEDERAL MINISTRY OF POLICE AFFAIRS,2013,,,
,,,,
PRESIDENCY,2012,,,
MINISTRY OF DEFENCE,2012,,,
MINISTRY OF FOREIGN AFFAIRS,2012,,,
FEDERAL MINISTRY OF INFORMATION,2012,,,
"FEDERAL MINISTRY OF TOURISM, CULTURE & NATIONAL ORIENTATION",2012,,,
FEDERAL MINISTRY OF AVIATION,2012,,,
MINISTRY OF INTERIOR,2012,,,
OFFICE OF THE HEAD OF THE CIVIL SERVICE OF THE FEDERATION,2012,,,
AUDITOR GENERAL FOR THE FEDERATION,2012,,,
MINISTRY OF COMMUNICATION TECHNOLOGY,2012,,,
OFFICE OF THE NATIONAL SECURITY ADVISER,2012,,,
INFRASTRUCTURE CONCESSIONARY REGULATORY COMMISSION,2012,,,
OFFICE OF THE SECRETARY TO THE GOVERNMENT OF THE FEDERATION,2012,,,
FEDERAL MINISTRY OF AGRICULTURE & RURAL DEVELOPMENT,2012,,,
FEDERAL MINISTRY OF FINANCE,2012,,,
"FEDERAL MINISTRY OF INDUSTRY, TRADE AND INVESTMENT",2012,,,
FEDERAL MINISTRY OF LABOUR AND EMPLOYMENT,2012,,,
FEDERAL MINISTRY OF SCIENCE AND TECHNOLOGY,2012,,,
FEDERAL MINISTRY OF TRANSPORTATION,2012,,,
FEDERAL MINISTRY OF  WORKS,2012,,,
"FEDERAL MINISTRY OF LANDS, HOUSING & URBAN DEVELOPMENT",2012,,,
FEDERAL MINISTRY OF  POWER,2012,,,
